"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,40,1224,118
2,252,2588,296
3,162,2923,411
4,150,3072,432
5,114,2671,472
6,117,2337,412
7,135,1832,380
8,103,1576,289
9,142,1209,253
10,78,1015,222
11,75,799,168
12,62,683,129
13,66,561,128
14,52,453,80
15,48,414,82
16,44,306,67
17,31,238,74
18,19,245,39
19,28,210,47
20,35,161,36
21,29,116,31
22,36,122,35
23,29,123,25
24,15,104,22
25,9,64,22
26,24,64,13
27,15,71,11
28,13,71,15
29,11,47,10
30,15,49,8
31,14,35,7
32,6,43,5
33,8,43,9
34,9,33,4
35,8,31,8
36,12,26,5
37,8,24,4
38,7,21,3
39,4,15,3
40,5,27,1
41,8,6,2
42,7,23,1
43,7,18,1
44,9,15,3
45,7,22,5
46,4,13,2
47,4,15,3
48,10,8,0
49,7,19,2
50,3,10,3
51,10,12,0
52,9,4,0
53,4,5,2
54,3,14,0
55,8,7,0
56,6,2,1
57,9,3,0
58,5,5,0
59,6,2,1
60,4,4,1
