"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,19,1817,161
2,118,3963,431
3,202,4928,622
4,133,5126,684
5,109,4525,773
6,111,3863,681
7,91,3094,596
8,86,2663,495
9,79,2117,424
10,83,1711,373
11,48,1399,279
12,52,1197,233
13,49,908,224
14,30,785,157
15,37,702,142
16,26,555,107
17,20,438,122
18,8,408,81
19,16,361,80
20,18,287,69
21,14,218,50
22,10,229,53
23,13,223,36
24,11,185,39
25,13,131,32
26,8,106,27
27,8,120,22
28,8,128,27
29,9,94,20
30,4,95,15
31,10,66,17
32,10,72,12
33,7,67,15
34,5,57,12
35,4,56,13
36,7,50,13
37,5,44,6
38,7,39,5
39,2,31,6
40,3,39,7
41,4,27,5
42,3,32,2
43,3,32,3
44,2,30,4
45,8,27,6
46,4,28,3
47,1,23,8
48,3,17,2
49,5,24,2
50,2,15,3
51,0,19,1
52,0,8,0
53,2,11,2
54,2,19,1
55,4,13,2
56,2,9,1
57,1,9,1
58,1,9,0
59,3,9,1
60,4,6,1
