"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,1371,135
2,85,2863,356
3,125,3428,492
4,117,3626,529
5,104,3212,575
6,99,2779,519
7,99,2180,439
8,65,1912,359
9,41,1503,320
10,58,1234,285
11,45,981,200
12,41,861,175
13,35,676,166
14,30,553,112
15,27,514,98
16,20,400,80
17,31,324,89
18,19,311,50
19,14,259,62
20,22,206,47
21,23,164,42
22,12,163,41
23,7,163,30
24,13,136,30
25,14,91,25
26,14,76,20
27,12,95,14
28,15,94,21
29,10,64,15
30,14,73,14
31,13,51,11
32,17,50,6
33,12,51,11
34,17,47,7
35,10,42,10
36,8,34,8
37,5,30,4
38,8,27,3
39,6,26,4
40,9,35,3
41,4,12,3
42,8,23,2
43,3,21,3
44,3,22,3
45,3,25,5
46,5,17,1
47,3,17,5
48,4,9,0
49,5,21,2
50,3,11,3
51,2,12,0
52,3,6,0
53,12,5,2
54,9,16,1
55,9,8,1
56,7,3,1
57,6,6,0
58,1,8,0
59,7,5,1
60,4,6,1
