"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,27,1902,165
2,151,4214,441
3,189,5250,639
4,118,5431,706
5,84,4818,794
6,107,4093,696
7,84,3294,614
8,64,2858,512
9,55,2245,439
10,55,1826,385
11,42,1498,298
12,25,1261,245
13,36,965,233
14,30,824,167
15,49,734,149
16,16,586,112
17,24,464,125
18,18,434,87
19,21,383,82
20,23,294,72
21,17,224,50
22,9,247,54
23,11,243,37
24,12,190,39
25,5,135,35
26,13,117,28
27,7,125,23
28,10,138,30
29,7,100,20
30,9,102,15
31,6,70,17
32,4,79,12
33,7,71,16
34,7,57,13
35,5,58,13
36,4,51,13
37,5,53,6
38,1,40,5
39,9,30,6
40,6,43,8
41,4,30,6
42,6,33,2
43,5,30,3
44,2,31,4
45,3,30,6
46,1,26,3
47,3,23,9
48,1,18,2
49,2,26,2
50,0,17,3
51,4,21,1
52,1,9,0
53,1,13,2
54,1,19,1
55,1,11,2
56,2,12,1
57,0,9,1
58,0,9,0
59,3,9,1
60,1,7,1
