"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1731,157
2,169,3742,420
3,192,4626,607
4,137,4855,667
5,130,4283,754
6,74,3679,664
7,84,2934,574
8,86,2546,474
9,70,2024,410
10,60,1623,359
11,47,1332,267
12,28,1138,228
13,33,879,220
14,20,740,153
15,31,674,135
16,17,526,105
17,21,423,118
18,18,394,80
19,22,343,80
20,23,282,65
21,12,212,51
22,10,221,51
23,12,219,36
24,12,177,38
25,10,125,31
26,15,105,27
27,4,115,21
28,6,121,26
29,5,87,18
30,5,90,15
31,9,66,17
32,3,68,12
33,10,63,15
34,2,54,11
35,3,53,13
36,3,48,13
37,10,44,4
38,3,39,5
39,1,28,6
40,1,38,6
41,3,26,5
42,3,31,2
43,5,32,3
44,4,30,4
45,3,28,6
46,0,23,3
47,4,21,8
48,4,16,2
49,3,23,2
50,2,15,3
51,1,19,0
52,3,10,0
53,1,11,2
54,4,20,1
55,3,10,2
56,2,10,1
57,4,8,1
58,2,11,0
59,3,11,1
60,3,8,1
