"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,33,1076,107
2,234,2265,261
3,133,2456,346
4,102,2629,372
5,150,2300,409
6,98,2020,357
7,89,1575,317
8,75,1346,227
9,65,1062,214
10,38,876,182
11,37,676,141
12,53,592,101
13,35,489,106
14,36,386,61
15,25,344,64
16,29,263,56
17,19,214,56
18,19,200,32
19,25,186,37
20,20,144,28
21,20,97,28
22,10,106,27
23,20,103,20
24,16,86,21
25,11,65,16
26,14,51,12
27,20,59,7
28,12,58,14
29,16,40,6
30,21,44,7
31,15,27,6
32,5,31,2
33,10,31,7
34,14,32,3
35,9,22,8
36,13,22,4
37,17,20,4
38,11,13,2
39,8,13,3
40,13,17,0
41,9,8,2
42,9,19,0
43,6,15,1
44,12,11,2
45,9,18,5
46,7,11,2
47,10,9,3
48,7,4,0
49,7,13,1
50,15,11,2
51,8,10,0
52,5,3,0
53,4,5,1
54,7,10,0
55,8,3,0
56,9,3,1
57,8,4,0
58,5,3,0
59,3,2,1
60,3,2,2
