"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,20,1949,167
2,100,4319,446
3,101,5424,643
4,119,5598,708
5,68,4952,800
6,70,4203,710
7,74,3360,620
8,46,2925,520
9,42,2306,441
10,47,1878,391
11,43,1536,301
12,21,1297,248
13,23,981,234
14,25,851,172
15,30,764,149
16,13,596,114
17,19,486,125
18,14,449,89
19,11,391,88
20,5,307,72
21,10,233,51
22,10,257,55
23,21,244,37
24,6,195,40
25,7,138,35
26,3,119,28
27,8,135,23
28,9,145,30
29,13,105,20
30,3,103,15
31,4,74,17
32,8,78,12
33,2,72,17
34,5,59,13
35,6,56,13
36,9,52,13
37,5,51,6
38,7,42,6
39,5,29,6
40,4,44,8
41,5,32,6
42,5,30,2
43,4,31,3
44,3,34,4
45,4,32,6
46,0,28,3
47,8,24,9
48,5,19,2
49,3,27,2
50,3,20,3
51,4,20,1
52,0,10,0
53,3,12,2
54,1,19,1
55,3,11,2
56,1,13,1
57,1,9,1
58,0,9,0
59,3,9,1
60,1,6,1
