"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,2017,169
2,36,4455,459
3,35,5641,652
4,31,5800,720
5,28,5136,806
6,44,4356,717
7,28,3474,633
8,25,3038,528
9,18,2393,452
10,11,1976,397
11,9,1601,308
12,14,1356,254
13,18,1013,242
14,12,884,179
15,11,793,151
16,9,625,117
17,9,513,128
18,4,457,94
19,4,401,91
20,8,325,72
21,9,251,56
22,9,272,60
23,15,253,41
24,5,202,40
25,6,146,35
26,5,124,29
27,4,140,24
28,6,152,32
29,2,111,20
30,5,106,16
31,2,76,17
32,5,82,14
33,5,72,17
34,5,64,16
35,9,65,13
36,3,58,13
37,5,55,6
38,3,43,6
39,3,34,7
40,1,50,8
41,4,33,6
42,3,33,2
43,7,32,3
44,2,34,4
45,3,32,6
46,1,28,3
47,6,28,9
48,2,18,2
49,9,30,2
50,2,21,3
51,2,21,1
52,2,10,0
53,2,16,3
54,0,20,2
55,6,13,2
56,8,11,2
57,2,8,1
58,3,11,0
59,4,9,1
60,2,7,1
