"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,16,1001,98
2,124,2112,245
3,137,2313,322
4,106,2473,359
5,84,2168,386
6,91,1888,333
7,54,1503,301
8,42,1269,213
9,52,1003,204
10,56,846,172
11,36,641,130
12,29,548,91
13,34,458,99
14,29,368,56
15,26,323,58
16,18,242,50
17,31,197,52
18,21,186,31
19,17,170,27
20,25,131,26
21,24,89,28
22,5,94,26
23,11,95,18
24,16,80,20
25,11,54,14
26,13,50,12
27,15,55,5
28,14,50,13
29,6,35,5
30,14,37,5
31,9,25,6
32,11,32,1
33,12,29,5
34,18,26,3
35,8,24,6
36,8,20,4
37,10,16,4
38,10,13,2
39,7,11,2
40,14,16,0
41,9,8,2
42,5,18,0
43,3,12,1
44,7,10,2
45,8,13,5
46,11,12,1
47,10,8,2
48,4,3,0
49,4,13,1
50,4,10,3
51,5,6,0
52,1,3,0
53,4,3,0
54,6,10,0
55,3,4,0
56,0,2,1
57,4,5,0
58,3,3,0
59,2,0,2
60,3,5,1
