"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,39,866,88
2,245,1796,220
3,139,1987,291
4,114,2100,323
5,139,1797,334
6,126,1555,300
7,107,1243,259
8,81,1025,174
9,123,806,168
10,55,692,141
11,54,510,104
12,49,441,78
13,44,361,71
14,49,299,49
15,36,259,44
16,30,196,34
17,28,148,42
18,17,147,21
19,31,124,20
20,17,91,20
21,25,64,16
22,24,77,17
23,18,67,13
24,10,51,19
25,6,42,11
26,20,37,9
27,9,36,4
28,8,38,9
29,14,21,4
30,8,26,4
31,0,14,4
32,7,18,1
33,5,19,4
34,3,19,2
35,3,17,5
36,6,13,4
37,2,10,4
38,4,10,2
39,0,6,2
40,2,12,0
41,5,6,1
42,0,11,0
43,4,10,1
44,1,6,3
45,2,10,4
46,1,7,0
47,2,9,2
48,2,4,0
49,2,9,0
50,2,9,1
51,3,5,0
52,0,2,0
53,1,3,0
54,1,8,0
55,0,1,0
56,0,1,1
57,1,2,0
58,0,2,0
59,1,0,1
60,1,0,1
