"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,9,2028,171
2,16,4500,459
3,8,5677,650
4,19,5854,724
5,23,5184,805
6,17,4399,721
7,9,3512,635
8,12,3065,531
9,8,2412,453
10,10,1992,398
11,6,1622,309
12,4,1361,256
13,4,1030,244
14,8,891,180
15,5,801,151
16,8,634,120
17,2,520,128
18,8,461,94
19,7,405,92
20,8,327,74
21,7,257,58
22,1,271,61
23,1,256,40
24,2,209,41
25,6,147,36
26,3,129,31
27,1,144,24
28,3,149,32
29,5,112,21
30,3,113,16
31,3,78,17
32,2,83,14
33,7,73,17
34,2,68,16
35,7,66,13
36,2,59,13
37,2,57,6
38,4,44,6
39,0,36,7
40,4,53,9
41,0,34,6
42,3,35,2
43,1,30,3
44,2,35,4
45,3,33,6
46,4,29,3
47,4,27,9
48,1,19,2
49,5,28,2
50,2,21,3
51,3,21,1
52,1,12,0
53,3,14,3
54,3,19,2
55,6,14,2
56,2,11,1
57,3,9,1
58,1,11,0
59,5,12,1
60,2,6,1
