"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,22,1684,156
2,176,3600,409
3,210,4447,598
4,152,4674,652
5,110,4133,728
6,85,3547,649
7,96,2843,563
8,84,2456,458
9,71,1941,402
10,62,1569,352
11,64,1284,264
12,49,1103,225
13,28,850,215
14,25,721,150
15,35,648,130
16,25,511,100
17,26,409,112
18,28,386,78
19,8,331,77
20,17,272,63
21,8,201,50
22,7,215,51
23,10,213,35
24,7,173,37
25,14,125,31
26,5,99,27
27,2,113,19
28,5,122,26
29,9,82,18
30,5,86,15
31,0,61,17
32,1,68,11
33,3,60,15
34,5,55,11
35,7,53,13
36,4,48,13
37,4,45,4
38,1,37,5
39,4,28,5
40,4,37,6
41,3,26,5
42,3,31,2
43,3,31,3
44,4,29,4
45,1,26,6
46,5,25,3
47,3,21,7
48,2,17,2
49,4,23,3
50,2,16,3
51,3,20,0
52,3,10,0
53,0,11,2
54,0,18,1
55,1,9,1
56,2,9,1
57,3,8,0
58,2,11,0
59,5,10,1
60,3,10,1
