"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2016,169
2,43,4450,459
3,35,5638,651
4,36,5789,720
5,52,5127,806
6,31,4354,717
7,28,3474,632
8,22,3030,528
9,15,2391,452
10,15,1972,397
11,16,1600,308
12,22,1354,254
13,16,1012,242
14,13,883,178
15,10,795,151
16,12,621,117
17,4,512,128
18,4,458,93
19,8,403,91
20,10,323,72
21,10,249,56
22,17,271,60
23,5,253,41
24,6,203,40
25,5,144,35
26,4,125,29
27,6,138,25
28,2,152,31
29,6,112,20
30,2,106,16
31,5,75,17
32,6,81,14
33,5,73,17
34,10,66,15
35,3,63,13
36,5,59,13
37,3,55,6
38,3,42,6
39,1,34,7
40,4,50,8
41,3,32,6
42,7,34,2
43,2,31,3
44,3,34,4
45,1,32,6
46,6,32,3
47,3,25,9
48,8,21,2
49,2,27,2
50,2,22,3
51,2,19,1
52,2,13,0
53,0,14,3
54,6,20,2
55,8,12,3
56,2,11,1
57,3,8,1
58,4,11,0
59,2,10,1
60,6,7,1
