"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,2042,172
2,10,4516,459
3,11,5695,652
4,5,5869,725
5,10,5211,808
6,6,4414,723
7,3,3536,637
8,5,3082,530
9,6,2424,453
10,4,2002,399
11,3,1634,309
12,2,1372,257
13,2,1035,246
14,1,893,180
15,3,808,153
16,1,640,120
17,2,521,128
18,5,464,94
19,2,409,92
20,6,325,74
21,1,257,58
22,2,272,61
23,1,257,41
24,0,210,41
25,0,147,36
26,1,133,32
27,3,147,24
28,3,152,32
29,1,113,21
30,5,113,16
31,4,79,17
32,3,83,14
33,3,75,17
34,1,68,16
35,0,69,13
36,0,58,13
37,3,55,6
38,1,44,6
39,1,35,7
40,3,54,8
41,4,34,6
42,1,35,2
43,2,33,3
44,1,36,4
45,5,35,6
46,0,29,3
47,4,24,9
48,2,18,2
49,2,29,2
50,1,21,3
51,0,21,1
52,3,11,1
53,0,14,3
54,1,20,2
55,1,14,2
56,0,11,1
57,3,10,1
58,2,12,0
59,3,12,1
60,1,7,1
