"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,38,914,91
2,142,1884,229
3,124,2081,299
4,169,2203,332
5,143,1907,349
6,125,1635,307
7,114,1317,272
8,101,1090,187
9,46,856,179
10,54,739,151
11,57,544,111
12,51,468,81
13,48,393,79
14,36,309,51
15,57,275,48
16,27,209,41
17,24,158,43
18,28,154,25
19,21,140,22
20,23,95,23
21,27,70,20
22,26,82,19
23,13,77,13
24,8,55,20
25,22,47,12
26,12,39,10
27,18,38,4
28,22,40,10
29,12,25,4
30,7,26,4
31,4,16,4
32,13,23,1
33,8,21,4
34,6,20,2
35,10,16,6
36,6,15,4
37,0,11,4
38,6,11,2
39,2,8,2
40,4,13,0
41,3,8,1
42,4,13,0
43,0,10,1
44,4,7,2
45,0,10,4
46,2,10,1
47,4,9,2
48,0,3,0
49,3,10,0
50,2,8,3
51,1,4,0
52,2,2,0
53,1,4,0
54,2,8,0
55,2,1,0
56,2,2,1
57,3,3,0
58,0,1,0
59,1,0,1
60,1,1,1
