"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,1429,141
2,144,2976,373
3,129,3576,519
4,131,3819,552
5,124,3368,605
6,78,2926,545
7,54,2312,468
8,85,2025,377
9,52,1578,341
10,48,1298,298
11,45,1051,213
12,33,908,187
13,21,709,176
14,27,601,121
15,16,545,110
16,29,420,85
17,17,343,95
18,13,327,60
19,21,272,64
20,11,219,49
21,7,173,46
22,15,180,42
23,11,174,30
24,7,150,33
25,12,101,27
26,5,82,23
27,2,100,14
28,6,109,21
29,9,72,15
30,12,74,14
31,2,57,14
32,6,56,6
33,8,59,11
34,5,48,10
35,5,43,11
36,6,38,10
37,11,34,4
38,4,31,4
39,6,26,6
40,8,35,5
41,2,15,3
42,5,26,2
43,4,24,4
44,6,21,3
45,6,26,6
46,3,18,1
47,2,20,5
48,5,10,2
49,5,21,2
50,4,12,3
51,1,16,1
52,5,8,0
53,2,5,2
54,2,15,1
55,2,8,1
56,3,6,1
57,3,6,0
58,4,8,0
59,2,5,1
60,4,6,1
