"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1359,130
2,152,2854,346
3,137,3323,474
4,148,3512,506
5,89,3080,549
6,92,2689,491
7,71,2085,429
8,82,1852,341
9,63,1450,305
10,60,1185,270
11,55,947,190
12,29,820,169
13,23,651,161
14,34,536,102
15,35,491,97
16,18,374,78
17,21,310,86
18,29,290,46
19,18,248,58
20,16,204,43
21,18,150,37
22,22,164,40
23,21,158,29
24,24,134,29
25,19,83,24
26,12,69,17
27,12,90,12
28,15,85,21
29,9,63,13
30,18,72,14
31,11,49,9
32,12,43,6
33,10,51,11
34,7,42,6
35,7,43,9
36,11,30,8
37,7,32,4
38,8,24,3
39,7,19,5
40,4,31,3
41,2,11,3
42,3,25,2
43,12,20,3
44,7,20,3
45,12,24,5
46,7,15,2
47,4,15,5
48,4,7,0
49,7,21,2
50,5,11,3
51,2,11,0
52,3,7,0
53,6,5,2
54,2,13,0
55,1,12,0
56,2,5,1
57,4,7,0
58,2,9,0
59,2,4,1
60,3,5,1
