"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,27,1793,160
2,145,3907,424
3,151,4825,616
4,182,5040,676
5,154,4444,763
6,143,3795,675
7,70,3040,587
8,81,2616,488
9,68,2084,420
10,59,1683,371
11,59,1382,276
12,33,1182,232
13,31,899,221
14,15,774,155
15,21,686,141
16,19,548,107
17,19,431,121
18,13,401,80
19,17,356,80
20,13,289,67
21,16,214,51
22,7,225,53
23,8,223,36
24,7,181,39
25,20,129,31
26,11,106,27
27,13,115,22
28,18,124,26
29,8,87,20
30,7,95,15
31,8,68,17
32,8,71,12
33,8,66,15
34,8,56,12
35,2,56,13
36,3,49,13
37,4,45,6
38,4,41,5
39,4,31,6
40,2,37,6
41,9,27,5
42,2,32,2
43,1,32,3
44,3,30,4
45,5,28,6
46,4,25,3
47,1,21,8
48,1,16,2
49,2,23,2
50,2,14,3
51,4,21,0
52,4,9,0
53,2,13,2
54,0,18,1
55,3,10,2
56,4,9,1
57,3,8,1
58,2,10,0
59,1,9,1
60,2,6,1
