"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,24,1564,149
2,157,3276,390
3,165,3971,557
4,168,4225,611
5,101,3773,676
6,88,3211,602
7,73,2590,521
8,57,2255,422
9,55,1768,375
10,46,1429,333
11,38,1180,246
12,36,1011,212
13,26,777,193
14,31,668,138
15,20,608,123
16,15,477,93
17,14,382,103
18,13,354,70
19,11,305,73
20,10,251,56
21,11,188,48
22,12,201,46
23,11,201,33
24,8,168,35
25,14,117,31
26,7,92,27
27,7,108,18
28,9,112,24
29,6,79,17
30,8,83,15
31,11,63,16
32,6,63,9
33,5,58,13
34,2,55,9
35,5,48,12
36,2,45,13
37,0,42,4
38,9,36,5
39,4,31,6
40,4,34,5
41,3,24,5
42,7,25,2
43,6,32,3
44,6,26,4
45,6,29,6
46,4,23,3
47,5,21,6
48,3,14,2
49,3,21,2
50,0,14,3
51,3,17,0
52,5,9,0
53,1,9,2
54,0,18,1
55,2,11,1
56,3,6,1
57,3,6,0
58,0,8,1
59,2,8,1
60,2,8,1
