"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,31,1244,119
2,208,2627,301
3,211,2968,421
4,218,3117,437
5,110,2714,478
6,118,2388,419
7,84,1868,386
8,92,1620,292
9,100,1249,260
10,69,1039,230
11,88,822,170
12,57,705,133
13,53,578,133
14,41,463,85
15,48,428,82
16,34,314,66
17,33,249,75
18,30,247,42
19,19,214,49
20,13,165,37
21,17,121,31
22,27,128,35
23,24,133,26
24,27,105,22
25,22,68,23
26,11,63,13
27,5,75,11
28,17,77,15
29,11,49,10
30,8,53,9
31,10,34,7
32,9,39,5
33,7,39,9
34,5,34,4
35,8,34,8
36,7,26,5
37,6,24,4
38,9,24,3
39,8,15,3
40,6,29,1
41,4,7,2
42,4,22,1
43,6,16,1
44,6,16,3
45,6,23,5
46,5,12,3
47,4,14,3
48,3,8,0
49,3,19,2
50,7,10,2
51,6,14,0
52,1,5,1
53,5,5,2
54,4,12,0
55,4,5,0
56,4,5,1
57,7,6,0
58,4,5,0
59,4,2,1
60,3,4,1
