"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,16,928,92
2,170,1925,232
3,165,2125,304
4,155,2249,335
5,91,1965,352
6,78,1697,312
7,101,1351,279
8,88,1128,190
9,75,885,185
10,65,769,154
11,57,565,115
12,28,483,83
13,28,405,86
14,36,324,51
15,32,294,50
16,34,221,42
17,26,165,45
18,38,158,26
19,18,145,24
20,19,101,24
21,20,73,22
22,16,82,20
23,15,78,13
24,25,58,20
25,21,48,12
26,10,42,10
27,9,46,4
28,17,42,11
29,13,27,4
30,13,24,4
31,22,16,4
32,12,21,1
33,7,25,5
34,7,20,2
35,12,18,6
36,7,14,4
37,6,12,4
38,10,11,2
39,5,10,2
40,0,12,0
41,5,6,1
42,2,13,0
43,3,12,1
44,3,10,2
45,4,10,4
46,0,11,1
47,3,9,2
48,0,3,0
49,2,12,0
50,3,7,2
51,0,5,0
52,3,2,0
53,2,3,1
54,1,7,0
55,2,1,0
56,1,2,1
57,2,4,0
58,2,1,0
59,2,1,1
60,2,1,1
