"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,30,855,88
2,129,1757,219
3,148,1946,282
4,143,2052,319
5,152,1761,331
6,119,1525,292
7,164,1215,251
8,76,990,170
9,74,794,165
10,78,679,137
11,61,487,99
12,60,426,74
13,52,351,70
14,47,288,46
15,35,255,43
16,23,198,31
17,39,139,41
18,21,145,20
19,27,120,19
20,23,88,19
21,21,63,15
22,10,78,17
23,6,66,13
24,18,50,19
25,15,44,11
26,9,36,8
27,17,35,4
28,11,38,9
29,0,21,4
30,9,23,4
31,6,13,3
32,5,18,1
33,4,21,3
34,6,19,2
35,1,14,4
36,5,14,4
37,0,7,4
38,2,10,2
39,5,7,2
40,0,12,0
41,3,5,1
42,1,10,1
43,2,10,1
44,1,6,2
45,2,10,4
46,3,8,0
47,2,8,2
48,2,4,0
49,3,10,0
50,0,8,1
51,1,4,0
52,2,3,0
53,0,2,0
54,0,7,0
55,1,1,0
56,0,2,1
57,1,2,0
58,1,1,0
59,1,1,1
60,0,0,1
