"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,1256,120
2,160,2655,308
3,166,3014,424
4,165,3169,444
5,150,2748,482
6,154,2420,424
7,76,1888,388
8,85,1650,298
9,59,1276,263
10,68,1055,234
11,68,838,175
12,46,727,134
13,55,587,134
14,34,472,87
15,38,441,83
16,24,328,68
17,34,253,76
18,26,252,43
19,27,215,50
20,22,166,39
21,12,126,31
22,10,133,36
23,12,133,26
24,27,108,23
25,20,72,23
26,22,65,13
27,19,77,11
28,9,77,17
29,4,48,10
30,15,58,9
31,8,36,7
32,8,40,5
33,10,42,9
34,8,32,4
35,6,29,8
36,5,28,5
37,7,27,4
38,7,24,3
39,6,17,3
40,9,32,2
41,6,7,3
42,6,23,1
43,3,16,1
44,4,15,3
45,6,21,5
46,8,14,2
47,6,15,3
48,5,7,1
49,3,19,2
50,3,10,2
51,2,13,0
52,7,6,0
53,4,7,2
54,1,14,1
55,4,6,0
56,3,3,1
57,3,4,0
58,4,8,0
59,7,5,1
60,4,3,1
