"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,31,1898,165
2,195,4185,439
3,136,5235,639
4,100,5411,705
5,132,4790,791
6,101,4072,695
7,83,3276,612
8,73,2839,512
9,67,2228,438
10,49,1816,384
11,36,1489,298
12,47,1246,245
13,36,957,231
14,63,818,167
15,22,730,148
16,33,586,112
17,20,460,125
18,21,438,86
19,29,377,82
20,20,296,72
21,12,224,50
22,11,249,54
23,20,235,36
24,7,188,39
25,16,136,35
26,8,114,28
27,10,127,23
28,9,136,30
29,10,101,20
30,6,99,15
31,4,71,17
32,7,80,12
33,7,70,16
34,5,58,13
35,4,56,13
36,5,53,13
37,1,51,6
38,9,40,5
39,6,30,6
40,4,44,8
41,6,30,6
42,6,32,2
43,1,30,3
44,4,31,4
45,1,30,6
46,3,26,3
47,2,24,9
48,2,19,2
49,0,23,2
50,5,17,3
51,1,20,1
52,1,10,0
53,1,12,2
54,1,19,1
55,2,12,2
56,0,12,1
57,0,8,1
58,2,9,0
59,1,10,1
60,0,6,1
