"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,26,1855,162
2,165,4097,434
3,195,5092,632
4,117,5294,700
5,102,4667,782
6,119,3986,689
7,99,3198,604
8,108,2747,505
9,44,2186,434
10,76,1758,377
11,39,1462,289
12,37,1222,236
13,39,935,229
14,31,806,162
15,21,717,144
16,34,570,110
17,40,447,123
18,23,422,85
19,24,369,81
20,22,292,71
21,13,218,50
22,17,239,54
23,15,232,36
24,12,185,39
25,6,136,33
26,14,111,27
27,9,125,23
28,8,129,29
29,5,94,20
30,9,99,15
31,3,68,17
32,10,76,12
33,7,69,15
34,7,59,13
35,8,56,13
36,6,52,13
37,1,45,6
38,7,39,5
39,3,29,6
40,4,39,7
41,2,29,6
42,4,33,2
43,0,31,3
44,5,32,4
45,4,28,6
46,1,26,3
47,2,23,9
48,3,16,2
49,3,24,2
50,1,18,3
51,1,20,1
52,5,8,0
53,2,13,2
54,1,20,1
55,1,11,2
56,5,11,1
57,2,9,1
58,0,9,0
59,0,9,1
60,1,6,1
