"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,26,1297,123
2,158,2726,321
3,150,3144,439
4,152,3313,470
5,102,2875,513
6,116,2524,448
7,66,1976,406
8,54,1729,317
9,85,1355,275
10,67,1107,250
11,53,878,184
12,62,766,151
13,61,619,142
14,34,488,95
15,38,460,89
16,32,351,73
17,33,277,81
18,31,272,44
19,27,228,52
20,29,182,42
21,19,135,32
22,15,141,39
23,21,143,26
24,22,114,25
25,15,76,24
26,19,63,13
27,15,87,11
28,6,80,17
29,7,54,11
30,9,62,10
31,20,42,8
32,12,45,5
33,12,44,9
34,12,35,5
35,7,33,8
36,4,24,7
37,11,27,4
38,7,23,3
39,5,16,3
40,8,31,2
41,3,8,3
42,6,22,1
43,3,23,2
44,4,17,3
45,6,23,5
46,4,14,2
47,4,15,4
48,5,6,0
49,4,21,2
50,3,10,3
51,3,12,0
52,2,4,0
53,5,5,2
54,2,12,0
55,5,6,1
56,0,2,1
57,0,4,0
58,1,8,0
59,6,4,1
60,1,6,1
