"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1329,125
2,185,2801,333
3,156,3242,459
4,160,3413,483
5,149,2980,532
6,73,2612,477
7,75,2021,420
8,77,1782,329
9,77,1402,296
10,56,1151,262
11,53,914,189
12,50,794,158
13,28,637,152
14,29,515,101
15,33,477,94
16,29,362,74
17,35,294,84
18,30,285,44
19,31,234,57
20,19,196,43
21,22,149,33
22,19,149,39
23,18,150,27
24,24,129,28
25,19,80,24
26,13,66,15
27,11,89,12
28,9,82,20
29,11,57,11
30,18,64,13
31,12,47,8
32,13,41,6
33,10,47,11
34,5,39,5
35,3,39,9
36,4,28,8
37,15,32,4
38,11,26,3
39,11,21,4
40,8,29,2
41,6,9,3
42,4,23,1
43,11,19,2
44,7,19,3
45,3,21,5
46,4,18,2
47,4,14,4
48,3,6,0
49,1,24,2
50,2,11,3
51,4,13,0
52,2,6,0
53,2,6,2
54,4,12,0
55,4,9,0
56,1,4,1
57,2,6,0
58,1,8,0
59,2,2,1
60,1,5,1
