"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,42,1142,112
2,239,2411,275
3,228,2657,369
4,221,2799,398
5,117,2445,436
6,89,2157,373
7,134,1686,341
8,93,1427,246
9,76,1120,227
10,65,929,197
11,63,727,144
12,45,628,107
13,29,515,119
14,50,418,70
15,24,366,66
16,35,281,61
17,24,223,60
18,25,215,35
19,18,199,39
20,18,153,32
21,19,107,29
22,23,109,31
23,25,110,21
24,18,93,21
25,23,63,19
26,10,56,13
27,10,63,8
28,15,66,15
29,14,45,7
30,12,47,7
31,8,31,6
32,14,35,6
33,9,36,9
34,6,31,3
35,5,31,8
36,13,22,5
37,10,23,4
38,8,19,4
39,16,14,3
40,12,21,0
41,5,9,2
42,9,22,0
43,13,17,1
44,8,14,2
45,10,18,5
46,13,13,2
47,9,10,3
48,5,4,0
49,11,15,1
50,11,10,2
51,5,7,0
52,6,7,0
53,8,4,2
54,6,11,0
55,3,5,0
56,8,3,1
57,5,4,0
58,5,3,0
59,12,4,1
60,7,6,1
