"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,2034,172
2,7,4510,459
3,13,5682,651
4,10,5863,725
5,6,5193,806
6,8,4405,721
7,6,3522,636
8,16,3075,530
9,10,2415,453
10,3,1994,398
11,11,1628,309
12,2,1365,256
13,4,1034,245
14,3,891,180
15,4,801,152
16,0,633,120
17,3,521,128
18,2,463,94
19,5,409,92
20,2,324,74
21,6,255,58
22,6,271,61
23,3,256,40
24,4,211,41
25,1,147,36
26,0,131,32
27,0,145,24
28,3,149,32
29,3,114,21
30,1,113,16
31,3,78,17
32,5,83,14
33,1,72,17
34,3,69,16
35,1,67,13
36,5,60,13
37,1,55,6
38,5,43,6
39,2,35,7
40,2,55,8
41,4,35,6
42,0,37,2
43,4,31,4
44,0,37,4
45,3,33,6
46,1,28,3
47,2,24,9
48,3,18,2
49,4,27,2
50,3,23,3
51,1,21,1
52,4,13,0
53,2,14,3
54,3,19,2
55,1,14,2
56,3,12,1
57,3,10,1
58,5,11,0
59,2,9,1
60,3,6,1
