"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,18,1338,127
2,129,2812,334
3,181,3257,460
4,138,3430,489
5,134,2994,535
6,125,2625,478
7,56,2030,422
8,60,1783,330
9,66,1408,298
10,67,1154,263
11,46,917,189
12,47,795,159
13,48,637,152
14,26,514,101
15,28,483,94
16,29,360,74
17,28,297,84
18,32,284,44
19,31,238,57
20,30,198,43
21,17,148,33
22,20,152,39
23,18,150,27
24,17,128,28
25,19,87,24
26,19,67,15
27,12,89,12
28,10,82,20
29,9,55,11
30,10,67,13
31,17,46,9
32,10,42,6
33,13,48,11
34,10,36,5
35,5,41,9
36,3,27,8
37,4,31,4
38,15,26,3
39,11,21,4
40,12,32,2
41,8,9,3
42,5,23,1
43,5,18,2
44,11,18,3
45,7,23,5
46,3,15,2
47,4,17,4
48,5,6,0
49,3,19,2
50,1,14,3
51,2,13,0
52,4,7,0
53,2,6,2
54,2,14,0
55,3,7,0
56,4,5,1
57,1,6,0
58,2,9,0
59,1,2,1
60,2,5,1
