"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,18,1413,140
2,186,2944,367
3,131,3530,512
4,80,3774,545
5,125,3339,601
6,97,2889,539
7,73,2272,463
8,78,2005,373
9,56,1559,339
10,32,1275,296
11,40,1040,210
12,32,891,184
13,45,704,173
14,30,587,118
15,23,534,106
16,32,413,84
17,20,341,93
18,11,325,60
19,22,270,64
20,15,216,49
21,8,168,45
22,13,179,42
23,8,170,30
24,6,144,33
25,8,104,27
26,13,87,23
27,13,96,13
28,4,101,22
29,9,70,15
30,10,78,14
31,5,54,14
32,4,54,6
33,9,56,11
34,12,47,8
35,5,44,11
36,8,39,11
37,9,35,4
38,3,30,3
39,7,23,5
40,5,32,5
41,7,12,3
42,7,26,2
43,3,24,3
44,2,22,3
45,5,25,6
46,5,19,1
47,6,20,5
48,2,11,1
49,5,22,2
50,2,11,3
51,2,15,0
52,2,6,0
53,3,6,2
54,3,16,1
55,4,7,1
56,2,5,1
57,4,5,0
58,6,10,0
59,3,5,1
60,2,6,1
