"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,18,1973,167
2,69,4365,449
3,74,5521,645
4,44,5669,716
5,45,5025,803
6,63,4257,713
7,68,3404,626
8,50,2964,527
9,51,2341,446
10,36,1913,394
11,33,1560,303
12,22,1317,251
13,20,988,237
14,17,858,173
15,14,775,150
16,17,601,117
17,22,493,126
18,15,451,90
19,13,396,89
20,12,315,72
21,15,237,51
22,8,259,55
23,12,251,38
24,8,200,40
25,7,143,35
26,4,121,28
27,10,136,23
28,8,147,30
29,13,106,20
30,4,105,16
31,5,70,17
32,3,80,13
33,8,72,17
34,7,59,14
35,11,59,13
36,3,53,13
37,3,54,6
38,5,41,6
39,2,32,6
40,3,46,8
41,5,31,6
42,8,31,2
43,2,31,3
44,6,33,4
45,4,30,6
46,3,28,3
47,5,24,9
48,4,18,2
49,3,25,2
50,2,21,3
51,5,24,1
52,0,10,0
53,7,14,3
54,4,20,1
55,3,12,2
56,3,12,1
57,3,8,1
58,0,9,0
59,3,9,1
60,1,6,1
