"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1089,107
2,182,2296,264
3,162,2506,351
4,177,2669,373
5,104,2325,411
6,77,2053,361
7,108,1596,320
8,76,1367,233
9,66,1078,216
10,60,889,185
11,54,683,141
12,31,593,103
13,33,497,108
14,43,397,62
15,32,345,64
16,36,267,57
17,26,218,58
18,23,202,33
19,19,191,38
20,14,146,29
21,20,97,28
22,20,109,27
23,21,106,20
24,11,87,21
25,18,59,17
26,14,51,12
27,10,65,8
28,9,63,14
29,18,42,6
30,9,44,7
31,12,28,6
32,18,32,3
33,15,32,7
34,4,29,3
35,10,28,8
36,15,26,4
37,8,17,4
38,12,16,3
39,17,16,3
40,9,17,0
41,7,8,2
42,12,20,0
43,10,14,1
44,8,13,2
45,7,20,5
46,10,10,2
47,6,10,3
48,3,4,0
49,10,15,1
50,6,10,2
51,5,7,0
52,11,4,0
53,8,6,1
54,4,11,0
55,3,5,1
56,3,2,1
57,7,3,0
58,8,4,0
59,8,2,1
60,3,1,1
