"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,35,1842,162
2,150,4049,434
3,126,5046,628
4,175,5247,693
5,153,4617,781
6,162,3934,688
7,75,3155,603
8,112,2714,501
9,56,2161,430
10,60,1745,376
11,52,1449,285
12,40,1213,235
13,35,929,227
14,43,795,162
15,42,711,143
16,22,563,110
17,31,444,123
18,27,417,84
19,16,366,80
20,22,290,71
21,16,218,50
22,15,237,54
23,7,231,36
24,14,184,39
25,12,134,32
26,10,109,27
27,7,121,23
28,10,127,28
29,6,97,20
30,12,96,15
31,7,67,17
32,8,74,12
33,7,70,15
34,7,59,13
35,1,54,13
36,7,50,13
37,3,46,6
38,4,39,5
39,2,30,6
40,4,41,7
41,1,27,5
42,6,31,2
43,5,31,3
44,2,32,4
45,3,28,6
46,3,25,3
47,3,25,9
48,1,18,2
49,1,22,2
50,6,16,3
51,2,21,1
52,1,9,0
53,1,11,2
54,5,21,1
55,2,12,2
56,0,10,1
57,0,8,1
58,1,9,0
59,2,9,1
60,4,8,1
