"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,31,1767,158
2,234,3839,421
3,244,4717,613
4,147,4960,672
5,127,4375,760
6,122,3761,671
7,107,3000,583
8,86,2592,482
9,54,2058,415
10,58,1668,363
11,25,1358,270
12,30,1164,232
13,33,893,221
14,31,759,153
15,23,676,139
16,25,541,107
17,15,431,120
18,17,400,80
19,12,347,80
20,13,287,66
21,11,213,51
22,20,223,52
23,15,222,36
24,18,179,39
25,20,129,31
26,9,105,27
27,7,114,22
28,10,122,26
29,9,87,18
30,8,93,15
31,12,68,17
32,3,71,12
33,4,66,15
34,4,56,12
35,4,55,13
36,7,50,13
37,2,44,6
38,10,41,5
39,1,29,6
40,1,39,6
41,3,28,5
42,6,32,2
43,3,32,3
44,1,29,4
45,1,27,6
46,3,23,3
47,2,21,8
48,4,18,2
49,3,24,2
50,3,16,3
51,0,19,0
52,3,8,0
53,4,11,2
54,3,18,1
55,2,11,2
56,1,10,1
57,3,8,1
58,1,9,0
59,4,11,1
60,3,6,1
