"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,2045,172
2,11,4519,459
3,5,5695,652
4,3,5873,725
5,4,5214,808
6,11,4418,723
7,3,3536,637
8,3,3083,530
9,2,2421,453
10,4,2001,399
11,5,1635,309
12,5,1377,257
13,2,1040,246
14,1,894,180
15,2,805,153
16,1,640,120
17,1,521,128
18,1,463,94
19,1,409,92
20,2,326,74
21,4,258,58
22,2,272,61
23,6,257,41
24,1,210,41
25,2,147,36
26,1,132,32
27,0,146,24
28,0,152,32
29,1,114,21
30,0,114,16
31,3,80,17
32,1,82,14
33,4,74,17
34,4,68,16
35,3,69,13
36,3,60,13
37,1,55,6
38,0,44,6
39,0,36,7
40,3,53,8
41,1,34,6
42,1,35,2
43,3,32,3
44,4,36,4
45,1,33,6
46,2,31,3
47,1,24,9
48,5,20,2
49,0,27,2
50,4,20,3
51,2,20,1
52,2,13,0
53,1,14,3
54,0,21,2
55,3,13,3
56,0,12,1
57,1,10,1
58,1,12,0
59,0,9,1
60,3,6,1
