"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,23,1655,153
2,148,3518,405
3,176,4333,593
4,179,4588,640
5,137,4047,718
6,136,3445,637
7,91,2779,553
8,58,2415,450
9,70,1895,393
10,56,1542,352
11,44,1267,261
12,43,1079,222
13,42,832,206
14,22,710,147
15,19,644,127
16,15,494,98
17,19,404,111
18,13,381,76
19,9,329,77
20,18,267,59
21,7,199,48
22,7,210,49
23,8,210,35
24,10,168,37
25,13,122,31
26,3,97,27
27,2,111,19
28,5,119,25
29,6,80,18
30,9,89,15
31,4,63,16
32,4,70,11
33,2,61,15
34,4,52,10
35,5,50,13
36,4,46,13
37,4,43,4
38,6,38,5
39,6,30,5
40,3,36,6
41,7,25,5
42,5,28,2
43,4,31,3
44,6,29,5
45,3,28,6
46,4,25,3
47,7,23,7
48,5,16,2
49,2,23,2
50,1,14,3
51,2,16,0
52,2,9,0
53,2,13,2
54,5,19,1
55,3,13,1
56,2,10,1
57,2,8,0
58,0,9,0
59,2,10,1
60,2,6,1
