"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,37,881,89
2,200,1823,223
3,184,2020,296
4,190,2134,326
5,87,1847,338
6,91,1586,303
7,95,1268,267
8,91,1059,178
9,68,819,173
10,62,710,143
11,92,519,105
12,39,448,79
13,39,374,74
14,41,302,50
15,32,268,45
16,37,201,37
17,35,152,42
18,30,151,24
19,22,132,21
20,9,91,20
21,27,68,18
22,18,81,19
23,19,70,13
24,24,52,19
25,13,43,11
26,7,39,10
27,5,37,4
28,14,39,10
29,8,25,4
30,6,25,4
31,12,15,4
32,8,21,1
33,0,21,4
34,6,19,2
35,3,15,5
36,2,14,4
37,3,13,4
38,6,11,2
39,2,7,2
40,4,12,0
41,0,5,1
42,2,13,0
43,4,10,1
44,0,6,2
45,4,11,4
46,1,8,2
47,1,8,2
48,1,3,0
49,2,10,0
50,2,9,1
51,2,4,0
52,2,3,0
53,3,4,0
54,0,7,0
55,1,1,0
56,1,2,1
57,0,2,0
58,0,1,0
59,1,0,1
60,0,1,1
