"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,24,1849,162
2,217,4069,434
3,136,5071,630
4,122,5275,699
5,148,4648,783
6,128,3960,689
7,144,3170,603
8,59,2734,504
9,95,2173,433
10,45,1753,376
11,44,1463,287
12,44,1214,236
13,35,935,229
14,24,806,162
15,36,717,144
16,42,562,110
17,22,449,123
18,25,418,85
19,23,372,81
20,14,289,71
21,19,219,50
22,16,238,54
23,14,232,36
24,6,185,39
25,15,135,32
26,11,111,27
27,12,123,23
28,7,127,29
29,9,96,20
30,4,98,15
31,10,67,17
32,9,74,12
33,7,70,15
34,8,59,13
35,6,56,13
36,1,50,13
37,7,45,6
38,3,40,5
39,4,28,6
40,2,40,7
41,4,30,5
42,0,31,2
43,5,31,3
44,5,32,4
45,1,29,6
46,2,25,3
47,3,23,9
48,3,18,2
49,1,24,2
50,1,16,3
51,7,19,1
52,2,10,0
53,1,12,2
54,1,19,1
55,5,12,2
56,2,12,1
57,0,8,1
58,0,9,0
59,1,9,1
60,2,6,1
