"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,32,1410,137
2,132,2917,363
3,133,3483,503
4,147,3714,540
5,118,3284,589
6,67,2846,529
7,57,2238,452
8,62,1975,365
9,65,1536,330
10,42,1265,295
11,35,1022,207
12,44,881,182
13,30,693,170
14,18,575,116
15,28,532,103
16,19,414,82
17,12,336,90
18,17,323,58
19,10,265,64
20,11,213,47
21,6,171,45
22,21,175,41
23,15,167,30
24,4,142,31
25,10,97,27
26,15,82,22
27,6,94,14
28,6,99,21
29,9,69,15
30,12,73,14
31,6,54,12
32,8,55,7
33,13,54,11
34,3,47,7
35,9,43,11
36,7,36,10
37,9,31,4
38,8,28,3
39,5,23,5
40,5,32,4
41,4,11,3
42,7,24,2
43,6,22,3
44,2,22,3
45,6,27,5
46,2,19,1
47,2,18,5
48,2,9,1
49,3,22,2
50,3,11,3
51,4,14,0
52,2,6,0
53,4,4,2
54,6,17,1
55,2,8,1
56,2,5,1
57,2,6,0
58,12,9,0
59,8,5,1
60,9,6,1
