"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1347,129
2,185,2841,341
3,140,3287,468
4,126,3470,497
5,120,3029,544
6,128,2648,486
7,89,2055,427
8,90,1817,338
9,89,1426,302
10,33,1167,269
11,38,934,190
12,45,814,164
13,49,642,154
14,31,524,102
15,29,488,97
16,41,370,78
17,20,304,86
18,21,286,46
19,22,237,58
20,26,206,43
21,30,150,36
22,28,156,39
23,24,150,28
24,15,129,29
25,13,86,24
26,15,69,16
27,12,92,12
28,19,89,20
29,13,55,13
30,15,65,14
31,11,49,9
32,5,43,6
33,6,53,11
34,13,36,6
35,8,41,9
36,10,27,8
37,8,30,4
38,4,25,3
39,3,20,5
40,2,31,2
41,13,12,3
42,8,25,2
43,11,21,2
44,7,19,3
45,4,21,5
46,4,15,2
47,9,16,5
48,7,8,0
49,3,19,2
50,3,11,3
51,5,11,0
52,2,5,0
53,1,10,2
54,2,15,0
55,4,9,0
56,2,4,1
57,2,6,0
58,3,8,0
59,4,5,1
60,1,6,1
