"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,21,1604,150
2,178,3389,398
3,198,4140,579
4,148,4392,623
5,167,3922,700
6,97,3333,618
7,62,2676,535
8,68,2317,435
9,57,1826,382
10,51,1479,343
11,44,1221,255
12,39,1046,217
13,26,806,201
14,20,690,142
15,21,625,125
16,19,487,94
17,20,390,105
18,13,366,72
19,9,318,73
20,13,255,56
21,11,194,48
22,10,206,48
23,11,207,35
24,5,168,35
25,2,118,31
26,5,93,27
27,5,110,18
28,6,118,25
29,5,82,18
30,7,88,15
31,9,63,16
32,5,66,10
33,8,57,14
34,8,53,9
35,6,49,12
36,8,46,14
37,3,44,4
38,6,37,5
39,10,32,5
40,7,36,5
41,3,23,5
42,2,25,2
43,3,30,3
44,2,28,4
45,1,28,6
46,8,23,3
47,4,25,7
48,3,15,2
49,4,24,2
50,5,13,3
51,6,17,0
52,4,8,0
53,5,12,2
54,4,18,1
55,4,9,1
56,3,9,1
57,3,8,0
58,0,10,0
59,3,10,1
60,3,7,1
