"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,10,2026,171
2,29,4493,459
3,20,5672,650
4,15,5849,724
5,21,5180,805
6,12,4391,721
7,12,3506,634
8,13,3065,531
9,6,2409,453
10,5,1991,398
11,9,1621,308
12,5,1363,255
13,9,1029,244
14,3,886,180
15,12,800,151
16,10,631,120
17,10,521,128
18,7,463,94
19,3,403,92
20,2,327,74
21,2,256,57
22,7,271,61
23,6,255,40
24,2,207,40
25,4,144,36
26,5,129,31
27,3,145,24
28,4,152,32
29,3,113,21
30,8,114,16
31,1,77,17
32,9,81,14
33,2,71,17
34,2,69,16
35,4,68,13
36,0,58,13
37,4,55,7
38,0,43,6
39,4,34,7
40,2,54,8
41,2,34,6
42,3,34,2
43,4,32,3
44,4,37,4
45,1,33,6
46,5,30,3
47,2,25,9
48,3,19,2
49,1,27,2
50,3,21,3
51,3,20,1
52,6,12,0
53,2,13,3
54,3,19,2
55,1,13,2
56,5,14,1
57,2,9,1
58,4,14,0
59,1,10,1
60,2,8,1
