"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,1755,158
2,162,3800,421
3,170,4678,613
4,140,4932,672
5,150,4347,758
6,122,3727,671
7,114,2977,582
8,70,2577,480
9,68,2045,413
10,42,1648,363
11,43,1346,269
12,49,1155,230
13,37,885,221
14,39,747,153
15,32,677,137
16,23,534,107
17,23,428,120
18,16,396,80
19,19,350,80
20,13,283,66
21,20,214,51
22,17,222,52
23,21,218,36
24,20,179,39
25,9,125,31
26,10,105,27
27,10,115,21
28,10,122,26
29,8,86,18
30,14,90,15
31,4,68,17
32,6,69,12
33,5,64,15
34,5,57,11
35,8,54,13
36,2,48,13
37,11,44,4
38,2,39,5
39,2,30,6
40,3,39,6
41,8,27,5
42,3,32,2
43,1,31,3
44,1,29,4
45,3,27,6
46,3,23,3
47,4,23,8
48,3,17,2
49,3,25,2
50,0,14,3
51,4,18,0
52,4,8,0
53,3,11,2
54,2,19,1
55,1,11,2
56,3,10,1
57,1,7,1
58,4,11,0
59,3,9,1
60,2,8,1
