"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,29,1389,136
2,161,2896,359
3,170,3458,499
4,78,3684,536
5,80,3251,583
6,93,2820,526
7,86,2200,450
8,60,1952,363
9,54,1512,325
10,68,1253,290
11,45,1003,206
12,28,870,179
13,37,684,167
14,27,567,115
15,23,527,100
16,19,404,82
17,22,330,90
18,15,319,57
19,9,266,63
20,22,209,47
21,16,165,44
22,12,170,40
23,16,168,30
24,18,144,31
25,9,92,27
26,9,79,21
27,9,94,13
28,16,95,21
29,9,67,15
30,11,75,15
31,14,52,12
32,9,52,7
33,13,53,11
34,12,48,7
35,14,42,10
36,12,36,9
37,14,32,4
38,9,27,3
39,6,23,5
40,6,32,4
41,8,12,3
42,5,26,2
43,8,24,3
44,4,21,3
45,6,25,5
46,3,19,1
47,3,18,5
48,3,9,1
49,5,18,2
50,3,11,3
51,4,13,0
52,6,7,0
53,2,5,2
54,2,16,1
55,3,8,1
56,12,4,1
57,7,6,0
58,9,9,0
59,6,4,1
60,6,5,1
