"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1234,119
2,201,2603,298
3,248,2940,412
4,138,3081,435
5,134,2683,475
6,105,2354,416
7,101,1852,382
8,113,1595,291
9,87,1231,258
10,105,1022,227
11,68,802,169
12,64,697,131
13,50,566,131
14,56,460,81
15,40,420,81
16,41,305,66
17,39,242,76
18,25,245,39
19,13,211,49
20,24,164,37
21,32,114,31
22,29,127,35
23,31,127,25
24,25,102,22
25,11,68,22
26,8,61,13
27,21,78,11
28,12,72,15
29,12,48,10
30,10,50,8
31,12,33,7
32,11,40,5
33,6,43,9
34,7,35,4
35,9,32,8
36,9,25,5
37,11,26,4
38,8,21,3
39,8,16,3
40,4,28,1
41,5,7,2
42,8,21,1
43,7,18,1
44,6,16,2
45,9,21,6
46,7,13,2
47,4,14,3
48,4,9,0
49,10,18,2
50,7,11,2
51,3,13,1
52,9,4,0
53,9,5,2
54,4,12,0
55,3,7,0
56,8,5,1
57,6,3,0
58,9,4,0
59,5,3,1
60,6,3,1
