"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,39,1204,116
2,139,2552,287
3,151,2860,397
4,193,3019,424
5,143,2628,459
6,219,2286,396
7,115,1797,371
8,100,1540,277
9,84,1179,247
10,85,1001,213
11,77,774,160
12,63,666,124
13,53,548,127
14,40,447,78
15,24,407,78
16,35,298,64
17,37,232,71
18,27,237,39
19,44,208,44
20,30,156,34
21,23,116,30
22,9,118,35
23,23,121,23
24,14,99,22
25,15,67,22
26,10,60,13
27,16,69,10
28,13,70,15
29,5,49,10
30,10,54,8
31,14,33,7
32,8,40,5
33,12,41,9
34,8,31,3
35,8,29,8
36,4,24,5
37,5,23,4
38,8,20,3
39,7,16,3
40,6,27,1
41,9,8,3
42,7,21,1
43,4,17,1
44,5,18,2
45,11,22,5
46,8,14,2
47,3,14,4
48,9,8,0
49,9,17,2
50,4,9,2
51,3,12,0
52,7,6,0
53,6,5,2
54,9,11,0
55,6,6,0
56,6,2,1
57,4,4,0
58,8,4,0
59,7,3,1
60,4,3,1
