"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,31,1336,127
2,127,2831,338
3,129,3275,464
4,136,3442,494
5,149,3007,541
6,111,2635,484
7,105,2043,424
8,107,1806,332
9,36,1412,302
10,45,1162,265
11,58,927,190
12,60,804,161
13,43,643,152
14,35,518,101
15,41,484,96
16,22,366,77
17,23,304,86
18,24,282,45
19,26,243,58
20,30,201,43
21,29,152,36
22,24,151,39
23,16,151,28
24,16,129,28
25,17,82,24
26,15,71,15
27,19,94,12
28,15,83,20
29,13,56,13
30,11,65,14
31,5,48,9
32,6,44,6
33,13,49,11
34,9,38,6
35,10,40,9
36,8,26,8
37,5,32,4
38,3,24,3
39,2,21,5
40,14,31,2
41,9,11,3
42,11,26,2
43,7,18,2
44,5,19,3
45,4,21,5
46,9,16,2
47,8,17,5
48,2,6,0
49,3,21,2
50,5,9,3
51,2,11,0
52,1,10,0
53,2,7,2
54,4,15,0
55,2,8,0
56,2,4,1
57,3,5,0
58,4,10,0
59,1,4,1
60,2,6,1
