"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,41,1304,125
2,125,2753,327
3,136,3173,444
4,163,3350,474
5,131,2902,520
6,110,2550,456
7,82,1988,409
8,94,1742,322
9,60,1367,283
10,50,1119,257
11,67,884,187
12,49,779,154
13,45,625,144
14,51,499,98
15,49,464,92
16,32,348,73
17,34,284,82
18,27,273,44
19,30,229,53
20,28,194,43
21,26,140,32
22,23,143,39
23,14,142,26
24,13,117,27
25,18,77,24
26,21,63,14
27,16,89,11
28,18,78,17
29,13,55,11
30,6,61,11
31,6,41,8
32,8,44,5
33,19,47,10
34,12,37,5
35,13,36,8
36,12,25,8
37,7,26,4
38,4,21,3
39,14,18,3
40,7,31,2
41,3,7,3
42,4,24,1
43,5,19,2
44,5,15,3
45,3,25,5
46,2,15,2
47,4,16,4
48,2,7,0
49,3,20,2
50,4,9,3
51,4,13,0
52,2,5,0
53,3,5,2
54,1,12,0
55,5,6,0
56,2,2,1
57,5,4,1
58,0,7,0
59,0,3,1
60,1,5,1
