"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1583,149
2,152,3327,396
3,130,4047,571
4,151,4293,617
5,147,3817,689
6,101,3258,609
7,92,2630,526
8,93,2282,427
9,51,1788,377
10,48,1456,337
11,45,1197,248
12,31,1017,214
13,36,782,198
14,26,677,140
15,21,610,124
16,25,479,94
17,18,382,103
18,18,366,70
19,17,314,73
20,11,254,56
21,8,190,48
22,8,198,47
23,6,202,34
24,7,168,35
25,9,120,31
26,7,98,27
27,9,110,18
28,7,113,24
29,9,79,17
30,9,84,15
31,6,61,16
32,7,66,11
33,5,59,13
34,6,54,9
35,12,51,12
36,6,44,13
37,4,43,4
38,2,35,5
39,3,28,5
40,2,35,5
41,0,22,5
42,9,26,2
43,5,33,4
44,4,27,4
45,3,30,6
46,7,21,3
47,6,24,6
48,6,12,2
49,5,22,2
50,4,15,3
51,5,16,0
52,3,10,0
53,3,10,2
54,0,17,1
55,3,10,1
56,4,8,1
57,1,6,0
58,0,11,0
59,2,10,1
60,2,7,1
