"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,21,1431,141
2,119,2984,374
3,140,3590,520
4,108,3830,556
5,105,3393,607
6,100,2930,545
7,65,2321,471
8,49,2027,379
9,77,1588,343
10,45,1303,299
11,38,1057,214
12,40,907,187
13,28,717,178
14,17,596,122
15,23,552,110
16,15,422,86
17,22,344,95
18,17,327,61
19,12,275,64
20,20,217,49
21,11,173,46
22,7,182,43
23,13,175,30
24,7,150,33
25,5,101,27
26,10,84,23
27,5,98,15
28,2,106,21
29,3,73,15
30,8,79,15
31,10,54,13
32,1,56,7
33,5,57,11
34,8,51,9
35,5,43,12
36,5,39,10
37,5,36,4
38,9,30,4
39,4,25,5
40,6,34,6
41,8,19,3
42,2,25,2
43,5,26,4
44,4,22,3
45,5,25,6
46,6,19,1
47,3,18,5
48,2,12,2
49,5,20,2
50,5,12,3
51,4,15,0
52,0,8,1
53,4,6,2
54,2,16,1
55,2,7,1
56,2,5,1
57,3,7,0
58,3,9,0
59,4,4,1
60,2,7,1
