"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,26,1661,153
2,107,3532,405
3,143,4351,595
4,149,4605,642
5,154,4055,718
6,125,3455,638
7,124,2778,554
8,82,2414,451
9,55,1904,397
10,61,1544,352
11,53,1268,261
12,42,1084,222
13,38,834,209
14,39,709,147
15,20,645,127
16,17,498,98
17,11,402,111
18,19,383,76
19,12,330,77
20,7,265,60
21,17,202,49
22,7,211,49
23,5,211,35
24,6,168,37
25,10,122,31
26,11,98,27
27,4,111,19
28,2,119,25
29,5,80,18
30,6,85,15
31,9,65,16
32,5,70,11
33,4,63,15
34,2,53,10
35,4,50,13
36,5,45,13
37,4,43,4
38,4,38,5
39,6,29,5
40,6,37,6
41,3,25,5
42,7,29,2
43,5,30,3
44,4,29,4
45,4,27,7
46,2,25,3
47,3,22,7
48,5,19,2
49,6,23,2
50,2,15,3
51,1,16,0
52,2,8,0
53,2,12,2
54,2,20,1
55,5,10,1
56,3,13,1
57,2,8,0
58,2,10,0
59,0,8,1
60,2,8,1
