"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,27,1596,149
2,204,3361,397
3,206,4093,574
4,133,4353,620
5,94,3877,695
6,99,3294,612
7,81,2649,535
8,75,2295,430
9,62,1813,378
10,65,1470,340
11,33,1203,250
12,37,1028,215
13,33,796,201
14,24,682,140
15,27,620,124
16,16,483,94
17,16,385,105
18,16,366,72
19,14,314,73
20,12,258,56
21,12,196,48
22,7,202,47
23,5,203,35
24,6,166,35
25,6,117,31
26,6,95,27
27,10,113,18
28,9,118,25
29,8,80,18
30,6,84,15
31,8,61,16
32,7,66,10
33,6,58,14
34,7,55,10
35,4,49,12
36,6,45,13
37,11,44,4
38,7,37,5
39,3,29,5
40,2,35,5
41,3,22,5
42,2,26,2
43,1,30,3
44,8,28,4
45,4,31,7
46,4,21,3
47,4,24,6
48,7,14,2
49,5,22,2
50,4,13,3
51,5,16,0
52,5,11,0
53,4,10,2
54,3,19,1
55,3,9,1
56,0,7,1
57,3,9,0
58,5,10,0
59,1,7,1
60,0,8,1
