"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,11,895,89
2,179,1849,227
3,174,2038,297
4,157,2158,326
5,159,1856,340
6,71,1601,305
7,82,1288,268
8,83,1073,182
9,71,843,175
10,58,721,144
11,50,533,110
12,72,452,79
13,31,380,75
14,28,308,51
15,31,274,47
16,31,200,40
17,31,159,42
18,30,151,24
19,32,137,21
20,15,92,22
21,9,68,18
22,26,80,19
23,14,74,13
24,19,53,20
25,23,46,11
26,13,37,10
27,7,40,4
28,4,38,10
29,14,26,4
30,8,25,4
31,6,16,4
32,12,21,1
33,6,22,4
34,0,20,2
35,6,16,5
36,2,14,4
37,3,11,4
38,3,13,2
39,5,8,2
40,1,12,0
41,4,6,1
42,0,12,0
43,2,10,1
44,4,7,2
45,0,10,4
46,4,9,1
47,1,7,3
48,1,3,0
49,4,10,0
50,2,9,2
51,2,5,0
52,2,2,0
53,2,4,0
54,3,8,0
55,0,1,0
56,1,1,1
57,1,3,0
58,0,1,0
59,0,0,1
60,1,0,1
