"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,29,1674,155
2,204,3582,409
3,181,4419,598
4,143,4654,649
5,102,4115,725
6,129,3520,647
7,104,2820,560
8,95,2440,457
9,80,1933,400
10,74,1556,352
11,49,1282,263
12,33,1094,225
13,34,841,214
14,42,718,150
15,28,642,130
16,29,506,100
17,28,410,112
18,10,383,78
19,16,334,77
20,8,267,63
21,9,202,49
22,13,215,51
23,7,212,35
24,15,172,37
25,6,124,31
26,3,99,27
27,3,112,19
28,8,121,26
29,6,81,18
30,0,85,15
31,2,61,17
32,4,68,11
33,6,61,15
34,7,57,10
35,5,52,13
36,4,47,13
37,2,43,4
38,4,37,5
39,5,28,5
40,4,38,6
41,4,27,5
42,4,30,2
43,5,31,3
44,1,28,4
45,5,27,6
46,3,23,3
47,3,22,7
48,4,17,3
49,2,24,2
50,3,16,3
51,5,19,0
52,4,8,0
53,1,12,2
54,1,18,1
55,3,9,1
56,2,10,1
57,2,9,0
58,5,10,0
59,3,12,1
60,2,7,1
