"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,42,1704,156
2,154,3672,411
3,154,4537,602
4,186,4771,661
5,140,4195,744
6,118,3602,658
7,123,2885,570
8,75,2495,464
9,58,1974,402
10,48,1596,354
11,46,1313,266
12,40,1120,225
13,40,865,218
14,35,733,150
15,34,652,133
16,32,516,101
17,20,415,115
18,15,387,78
19,21,343,79
20,16,277,65
21,18,207,50
22,20,219,51
23,7,216,36
24,8,173,37
25,6,127,31
26,8,103,27
27,8,114,20
28,4,122,26
29,14,84,18
30,2,85,15
31,2,63,17
32,4,69,11
33,9,61,15
34,4,55,11
35,0,51,13
36,1,47,13
37,3,43,4
38,3,38,5
39,7,31,5
40,4,39,6
41,3,28,5
42,0,31,2
43,4,30,3
44,4,29,4
45,3,26,6
46,2,24,3
47,2,22,7
48,3,17,2
49,1,22,2
50,4,16,3
51,3,18,0
52,2,9,0
53,4,12,3
54,2,20,1
55,3,11,1
56,3,11,1
57,0,7,0
58,0,9,0
59,1,9,1
60,2,6,1
