"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,2039,172
2,12,4511,459
3,7,5696,651
4,10,5867,725
5,12,5209,807
6,6,4409,721
7,6,3531,636
8,5,3078,530
9,4,2421,453
10,4,1999,399
11,5,1632,309
12,4,1368,256
13,8,1034,245
14,6,895,180
15,2,803,153
16,9,637,120
17,2,519,128
18,3,463,94
19,2,409,92
20,1,324,74
21,0,257,58
22,1,274,61
23,3,257,41
24,3,211,41
25,1,148,36
26,5,131,32
27,5,146,24
28,3,151,32
29,4,115,21
30,1,113,16
31,0,79,17
32,0,82,14
33,4,73,17
34,1,69,16
35,1,68,13
36,2,59,13
37,5,56,6
38,2,43,6
39,2,36,7
40,1,53,8
41,5,35,6
42,0,36,2
43,4,31,3
44,2,36,4
45,2,35,6
46,3,31,3
47,0,25,9
48,4,18,3
49,0,28,2
50,3,20,3
51,2,21,1
52,1,12,0
53,3,13,3
54,3,20,2
55,3,16,2
56,1,12,1
57,4,12,1
58,2,12,0
59,2,9,1
60,1,7,1
