"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,17,1474,145
2,141,3111,381
3,177,3754,544
4,92,3992,585
5,76,3560,649
6,103,3058,577
7,80,2424,497
8,61,2131,406
9,45,1671,358
10,64,1356,317
11,33,1102,232
12,34,953,201
13,31,752,186
14,39,626,132
15,28,577,112
16,17,446,90
17,23,363,100
18,17,342,68
19,9,290,68
20,18,233,54
21,13,181,48
22,9,188,45
23,14,196,31
24,10,159,35
25,4,105,28
26,10,91,24
27,6,102,16
28,7,105,22
29,8,75,16
30,7,81,15
31,7,59,15
32,8,60,7
33,5,56,11
34,10,51,9
35,4,47,12
36,4,45,10
37,6,38,4
38,4,28,5
39,1,26,5
40,4,38,5
41,4,20,3
42,4,26,2
43,0,28,5
44,2,26,3
45,4,28,6
46,3,22,3
47,4,19,5
48,0,13,2
49,3,21,2
50,2,14,3
51,1,17,1
52,5,10,0
53,0,9,2
54,3,18,1
55,2,8,1
56,2,5,1
57,4,6,0
58,2,8,0
59,2,6,1
60,4,6,1
