"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,32,1742,158
2,111,3772,420
3,153,4653,610
4,137,4892,668
5,145,4316,756
6,96,3705,667
7,89,2949,577
8,55,2564,476
9,61,2029,412
10,65,1642,361
11,53,1337,268
12,47,1138,229
13,42,881,221
14,26,749,153
15,29,675,137
16,16,528,106
17,24,429,118
18,15,395,80
19,19,345,80
20,17,283,65
21,22,212,51
22,22,222,51
23,10,218,36
24,10,178,38
25,11,128,31
26,11,106,27
27,8,112,21
28,15,122,26
29,4,88,18
30,5,88,15
31,6,68,17
32,5,69,12
33,7,65,15
34,2,54,11
35,10,53,13
36,2,48,13
37,3,45,4
38,3,39,5
39,8,29,6
40,3,39,6
41,1,26,5
42,1,31,2
43,3,31,3
44,3,29,4
45,4,28,6
46,4,24,3
47,3,23,8
48,0,16,2
49,4,23,2
50,4,14,3
51,3,18,0
52,2,9,0
53,1,12,2
54,3,19,1
55,1,10,2
56,4,12,1
57,3,7,1
58,2,10,0
59,4,10,2
60,2,8,1
