"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1881,164
2,148,4154,437
3,148,5145,636
4,123,5365,699
5,137,4735,787
6,124,4032,692
7,85,3243,609
8,56,2794,507
9,75,2211,437
10,67,1787,381
11,77,1474,291
12,27,1230,242
13,48,951,230
14,24,811,163
15,29,727,146
16,31,578,111
17,25,454,124
18,13,430,84
19,16,379,82
20,23,290,71
21,10,221,50
22,19,241,54
23,8,233,36
24,11,186,39
25,10,134,34
26,11,112,28
27,10,127,23
28,3,133,30
29,9,100,20
30,9,99,15
31,7,69,17
32,4,78,12
33,7,70,15
34,1,58,13
35,10,56,13
36,8,52,13
37,6,49,6
38,6,41,5
39,5,29,6
40,1,41,7
41,5,28,6
42,3,32,2
43,4,30,3
44,2,32,4
45,2,32,6
46,0,25,3
47,5,24,9
48,4,16,2
49,1,24,2
50,2,16,3
51,3,20,1
52,3,11,0
53,0,12,2
54,1,19,1
55,5,11,2
56,1,11,1
57,1,9,1
58,1,9,0
59,5,10,1
60,2,7,1
