"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,1377,132
2,129,2888,351
3,104,3373,480
4,154,3555,516
5,139,3122,563
6,103,2709,499
7,75,2120,430
8,86,1880,350
9,49,1471,311
10,58,1211,275
11,56,962,192
12,46,830,170
13,41,659,164
14,34,541,107
15,46,505,97
16,20,379,81
17,17,313,87
18,26,302,48
19,23,250,61
20,18,207,44
21,15,156,39
22,20,162,40
23,13,162,29
24,15,132,29
25,18,89,24
26,21,76,18
27,17,91,12
28,21,89,21
29,19,60,14
30,10,67,14
31,9,52,9
32,9,44,6
33,9,54,11
34,14,47,6
35,9,42,10
36,13,34,8
37,8,31,4
38,5,25,3
39,6,21,5
40,11,29,3
41,4,12,3
42,8,24,2
43,7,19,3
44,6,22,3
45,2,24,5
46,2,17,2
47,12,15,5
48,6,8,0
49,11,22,2
50,7,9,3
51,5,11,0
52,4,5,0
53,8,6,2
54,5,15,0
55,2,7,0
56,2,4,1
57,4,5,0
58,2,8,0
59,0,8,1
60,2,7,1
