"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,27,1339,127
2,124,2823,336
3,136,3267,462
4,164,3437,493
5,126,3003,537
6,116,2632,482
7,108,2040,422
8,45,1791,332
9,51,1410,299
10,63,1162,264
11,62,920,189
12,47,803,160
13,42,640,152
14,43,519,101
15,23,480,95
16,26,367,76
17,27,298,85
18,26,288,45
19,31,241,58
20,30,202,43
21,29,148,35
22,15,151,39
23,18,153,27
24,18,126,28
25,15,85,24
26,20,73,15
27,13,89,12
28,13,83,20
29,11,55,13
30,5,66,14
31,6,50,9
32,13,40,6
33,9,50,11
34,11,37,5
35,8,39,9
36,5,29,8
37,3,30,4
38,2,26,3
39,13,21,5
40,9,31,2
41,11,12,3
42,7,23,2
43,5,18,2
44,4,18,3
45,10,22,5
46,7,17,2
47,2,15,5
48,3,8,0
49,5,19,2
50,2,9,3
51,1,16,0
52,2,7,0
53,4,7,2
54,2,14,0
55,2,8,0
56,3,3,1
57,4,7,0
58,1,9,0
59,2,4,1
60,2,5,1
