"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,12,2022,170
2,31,4474,460
3,39,5653,652
4,29,5818,720
5,23,5153,805
6,16,4377,718
7,32,3478,633
8,26,3041,529
9,20,2406,452
10,13,1978,397
11,8,1608,308
12,6,1360,254
13,11,1018,244
14,15,882,179
15,12,797,151
16,11,624,118
17,7,516,129
18,8,458,95
19,4,402,91
20,4,326,72
21,8,253,57
22,9,273,61
23,9,255,41
24,15,204,40
25,4,144,36
26,6,126,29
27,3,141,24
28,2,152,31
29,4,111,21
30,2,108,16
31,4,75,17
32,3,84,14
33,3,73,17
34,5,63,16
35,5,63,13
36,8,61,13
37,3,55,6
38,5,43,6
39,2,35,7
40,3,50,8
41,1,33,6
42,4,34,2
43,3,31,3
44,7,35,4
45,2,32,6
46,3,28,3
47,1,24,9
48,6,22,2
49,2,26,2
50,8,23,3
51,2,21,1
52,2,12,0
53,2,13,3
54,2,22,2
55,0,14,2
56,5,11,1
57,8,8,2
58,1,11,0
59,2,9,1
60,3,6,1
