"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1865,163
2,120,4112,434
3,166,5103,632
4,178,5302,699
5,106,4692,783
6,82,4001,690
7,97,3212,607
8,87,2763,506
9,94,2188,435
10,36,1774,379
11,66,1467,290
12,30,1220,238
13,35,944,229
14,33,805,163
15,27,719,144
16,21,571,111
17,31,455,123
18,37,420,85
19,21,371,82
20,24,291,71
21,21,221,50
22,14,238,54
23,16,232,36
24,15,185,39
25,12,135,34
26,6,112,28
27,14,125,23
28,9,131,30
29,9,96,20
30,4,97,15
31,8,69,17
32,3,77,12
33,10,69,15
34,7,58,13
35,7,56,13
36,8,53,13
37,5,48,6
38,1,39,5
39,7,28,6
40,3,41,7
41,4,28,6
42,2,32,2
43,2,33,3
44,0,32,4
45,5,29,6
46,4,25,3
47,1,24,9
48,2,16,2
49,3,23,2
50,3,18,3
51,0,21,1
52,1,9,0
53,5,11,2
54,1,20,1
55,1,12,2
56,1,10,1
57,5,9,1
58,2,10,0
59,0,9,1
60,1,6,1
